                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3887,                 3.2232,                 1.3016,                0.00448,                    0.5,                0.49057,                0.29801,                 1.4601,                  3.602,                 1.2309,             0.00046412,             0.00046412,             0.00046412
                      2,                 1.3474,                 2.0091,                 1.2785,                      1,                0.08002,                0.44798,                0.23161,                 1.4987,                 3.6337,                 1.3665,              0.0008939,              0.0008939,              0.0008939
                      3,                 1.3551,                 1.8252,                 1.3282,                0.49824,                0.41176,                0.48851,                0.23702,                 1.3662,                 2.7209,                   1.38,              0.0012765,              0.0012765,              0.0012765
                      4,                 1.3761,                  1.641,                 1.3338,                 0.8165,                0.85294,                0.82816,                0.48899,                 1.3576,                 1.4122,                 1.2983,              0.0012168,              0.0012168,              0.0012168
                      5,                 1.3344,                 1.4215,                 1.2925,                0.82952,                0.91176,                0.88709,                0.58008,                 1.2919,                 1.8891,                 1.2974,              0.0011461,              0.0011461,              0.0011461
                      6,                 1.3027,                 1.2829,                 1.2584,                0.81684,                0.78717,                 0.8197,                0.48424,                 1.5879,                 1.6071,                 1.4552,              0.0010753,              0.0010753,              0.0010753
                      7,                 1.2951,                 1.2118,                 1.2591,                0.70113,                0.79412,                0.76721,                0.49116,                 1.6936,                 1.7006,                 1.4665,              0.0010046,              0.0010046,              0.0010046
                      8,                 1.2634,                 1.0871,                 1.2317,                0.86889,                0.77991,                0.81995,                 0.4943,                 1.4794,                 1.6521,                 1.3875,             0.00093385,             0.00093385,             0.00093385
                      9,                 1.2406,                 1.0274,                 1.2405,                0.88774,                0.93053,                0.89193,                0.57407,                 1.2701,                 1.1475,                 1.2166,             0.00086312,             0.00086312,             0.00086312
                     10,                 1.2387,                0.99226,                 1.2108,                0.86056,                0.90772,                0.87108,                0.58894,                  1.106,                  1.219,                 1.1478,             0.00079238,             0.00079238,             0.00079238
                     11,                 1.2129,                0.90062,                 1.2869,                0.93489,                0.84483,                0.91913,                0.66248,                0.98435,                0.99097,                  1.119,             0.00072164,             0.00072164,             0.00072164
                     12,                 1.1486,                0.84854,                 1.2583,                  0.964,                0.78784,                0.89773,                0.62272,                 1.1948,                 1.0729,                 1.1403,             0.00065091,             0.00065091,             0.00065091
                     13,                 1.1468,                0.81538,                 1.2304,                0.93921,                0.90893,                0.94943,                0.64918,                 1.2001,                0.89446,                 1.1503,             0.00058017,             0.00058017,             0.00058017
                     14,                  1.145,                0.76561,                  1.258,                0.95281,                0.88235,                0.93818,                0.63613,                 1.2579,                 1.0476,                 1.2013,             0.00050944,             0.00050944,             0.00050944
                     15,                 1.1009,                0.70602,                 1.2194,                0.94054,                0.93063,                0.95832,                0.65586,                 1.2529,                0.87991,                 1.1749,              0.0004387,              0.0004387,              0.0004387
                     16,                 1.0859,                0.69395,                 1.1961,                0.91345,                0.93146,                0.94383,                0.67198,                 1.1361,                0.70453,                 1.1465,             0.00036797,             0.00036797,             0.00036797
                     17,                 1.0664,                 0.6571,                 1.1919,                0.91428,                0.94108,                0.94319,                0.66125,                  1.169,                0.91949,                 1.1347,             0.00029723,             0.00029723,             0.00029723
                     18,                 1.0467,                0.63901,                 1.1629,                0.91226,                0.94118,                0.95419,                0.69616,                 1.1633,                0.84049,                 1.1182,              0.0002265,              0.0002265,              0.0002265
                     19,                 1.0398,                0.62747,                 1.1779,                0.91423,                0.94053,                0.94414,                0.70792,                 1.0079,                 0.8121,                 1.0656,             0.00015576,             0.00015576,             0.00015576
                     20,                 1.0003,                0.61016,                 1.1567,                0.90671,                0.94118,                0.94821,                0.69067,                 1.0432,                0.81316,                 1.0782,             8.5026e-05,             8.5026e-05,             8.5026e-05
